postazione;sensori;provincia;comune;tipo_strada;numero_strada;nome_strada
662;Underground;FE;COPPARO;Strada provinciale;2;Copparo, Strada
318;Underground;RE;CASALGRANDE;Strada provinciale;51;Rubiera - Sant'Antonino, Strada
279;Underground;BO;OZZANO DELL'EMILIA;Strada provinciale;31;Colunga, Strada
617;Underground;PC;GRAGNANO TREBBIENSE;Strada provinciale;7;Agazzano, Strada Di
348;Underground;FC;SAN MAURO PASCOLI;Strada provinciale;10;Cagnona, Strada
151;Underground;MO;MODENA;Strada statale;413;Romana, Strada
171;Underground;FC;FORLI';Strada provinciale;56;Vecchiazzano, Strada
153;Underground;BO;SASSO MARCONI;Strada comunale;64;Porrettana, Via
637;Underground;PR;COLLECCHIO;Strada statale;62;Cisa, Strada Della
308;Underground;PC;BORGONOVO VAL TIDONE;Strada statale;412;Val Tidone, Strada Della
383;Underground;RE;REGGIO NELL'EMILIA;Strada statale;722;Reggio Emilia, Tangenziale Di
116;Underground;FC;BAGNO DI ROMAGNA;Strada provinciale;138;Savio, Strada
385;Underground;PC;CASTEL SAN GIOVANNI;Strada statale;10;Padana Inferiore, Strada
290;Underground;BO;CASTELLO D'ARGILE;Strada provinciale;11;San Benedetto, Strada
425;Underground;FC;DOVADOLA;Strada statale;67;Tosco Romagnola, Strada
448;Underground;RE;NOVELLARA;Strada provinciale;5;Novellara - Reggiolo, Strada
215;Underground;BO;BENTIVOGLIO;Strada statale;253bis;Trasversale di Pianura, Strada
621;Underground;RE;CANOSSA;Strada provinciale;513R;Val d'Enza, Strada Di
307;Underground;PC;TRAVO;Strada statale;45;Val Trebbia, Strada Di
259;Aboveground;FC;CESENA;Strada provinciale;7;Cervese, Strada
118;Underground;PC;OTTONE;Strada statale;45;Val Trebbia, Strada Di
388;Underground;PC;ALSENO;Strada provinciale;31;Salsediana, Strada
312;Underground;RE;NOVELLARA;Strada provinciale;42;Novellara - Guastalla, Strada
275;Underground;BO;MINERBIO;Strada provinciale;5;Donato (San), Strada
29;Underground;MO;MODENA;Strada statale;9;Emilia, Via
607;Underground;FC;FORLI';Strada provinciale;1;Villafranca, Strada
222;Underground;PR;SALSOMAGGIORE TERME;Strada provinciale;359R;Salsomaggiore e Bardi, Strada Di
115;Underground;FE;MESOLA;Strada provinciale;68;Codigoro, Strada Di
339;Underground;FC;PREDAPPIO;Strada provinciale;3;Rabbi, Strada Del
684;Underground;BO;CASTEL MAGGIORE;Strada provinciale;87;Nuova Galliera, Strada
376;Underground;FE;OSTELLATO;Strada statale;495;Codigoro, Strada Di
127;Underground;PC;PIACENZA;Strada statale;9;Emilia, Via
449;Underground;RE;CAMPEGINE;Strada provinciale;111;Asse Val d'Enza, Strada
661;Underground;FE;FISCAGLIA;Strada provinciale;15;Mare, Via Del
626;Underground;RN;SAN CLEMENTE;Strada provinciale;18;Conca, Strada
403;Underground;PR;PARMA;Strada provinciale;72;Parma - Mezzani, Strada
175;Underground;FC;CESENA;Strada statale;003bis;Tiberina, Strada
150;Underground;MO;MODENA;Strada statale;12;Abetone e del Brennero, Strada Dell'
174;Underground;FC;FORLI';Strada statale;9;Emilia, Via
410;Underground;FE;CODIGORO;Strada provinciale;54;Codigoro - Pomposa - Volano, Strada
608;Underground;FC;CESENA;Strada provinciale;140;Diegaro - Sant'Egidio, Strada
243;Underground;BO;VALSAMOGGIA;Strada provinciale;27;Valle del Samoggia, Strada
390;Underground;PC;MONTICELLI D'ONGINA;Strada provinciale;462R;Val d'Arda, Strada Della
276;Aboveground;BO;GRANAROLO DELL'EMILIA;Strada statale;253bis;Trasversale di Pianura, Strada
280;Underground;BO;ZOLA PREDOSA;Strada provinciale;26;Valle del Lavino, Strada
239;Underground;RE;CASALGRANDE;Strada provinciale;486R;Montefiorino, Strada Di
609;Underground;MO;MARANO SUL PANARO;Strada provinciale;4;Fondovalle Panaro, Strada
100;Underground;RN;VERUCCHIO;Strada statale;258;Marecchia, Strada
616;Underground;PC;CASTELVETRO PIACENTINO;Strada provinciale;588R;Due Ponti, Strada Dei
161;Underground;BO;ANZOLA DELL'EMILIA;Strada statale;568;Crevalcore, Strada Di
131;Underground;PR;PARMA;Strada statale;665;Massese, Strada
104;Underground;PR;ROCCABIANCA;Strada provinciale;010(1);Nuovo Ponte sul Po, Strada Del
263;Underground;RN;RICCIONE;Strada comunale;ND;Adriatica, Via
139;Underground;RE;SCANDIANO;Strada provinciale;467R;Scandiano, Strada Di
289;Underground;FE;CENTO;Strada provinciale;66;San Matteo della Decima, Strada Di
242;Underground;MO;MARANELLO;Strada statale;12;Abetone e del Brennero, Strada Dell'
635;Underground;PC;PIACENZA;Strada statale;725;Piacenza, Tangenziale Di
155;Underground;BO;SAN LAZZARO DI SAVENA;Strada comunale;9;Emilia, Via
246;Underground;BO;SAN GIOVANNI IN PERSICETO;Strada provinciale;255;San Matteo della Decima, Strada Di
638;Underground;RE;REGGIO NELL'EMILIA;Strada statale;9;Emilia, Via
440;Underground;RN;SAN CLEMENTE;Strada provinciale;35;Riccione - Morciano, Strada
404;Underground;PR;FELINO;Strada comunale;ND;Alighieri Dante, Via
402;Underground;PR;PARMA;Strada provinciale;18;Pilastrello, Strada Del
162;Underground;MO;CASTELFRANCO EMILIA;Strada statale;9;Emilia, Via
453;Underground;MO;FORMIGINE;Strada statale;724;Nord di Modena e diramazione per Sassuolo, Tangenziale
625;Underground;RN;SANTARCANGELO DI ROMAGNA;Strada provinciale;14;Santarcangelo, Strada
618;Underground;RA;BAGNACAVALLO;Strada provinciale;253R;Vitale (San), Strada
666;Underground;FC;FORLI';Strada provinciale;3;Rabbi, Strada Del
434;Underground;RE;CAMPEGINE;Strada comunale;ND;Nicola (San), Via
401;Underground;PR;TRAVERSETOLO;Strada provinciale;513R;Val d'Enza, Strada Di
400;Underground;PR;SAN SECONDO PARMENSE;Strada provinciale;10;Cremona, Strada Di
332;Underground;RA;CASTEL BOLOGNESE;Strada provinciale;306R;Casolana Riolese, Strada
269;Underground;MO;MEDOLLA;Strada statale;12;Abetone e del Brennero, Strada Dell'
130;Underground;PR;COLLECCHIO;Strada statale;62;Cisa, Strada Della
19;Underground;PR;COLORNO;Strada statale;343;Asolana, Strada
304;Underground;PC;PODENZANO;Strada provinciale;42;Podenzano, Strada Di
184;Underground;RN;RIMINI;Strada statale;16;Adriatica, Strada
95;Underground;PC;CASTEL SAN GIOVANNI;Strada statale;10;Padana Inferiore, Strada
356;Underground;RE;REGGIOLO;Strada provinciale;2;Tagliata - Staffola, Strada
328;Underground;MO;MODENA;Strada provinciale;486;Montefiorino, Strada Di
603;Underground;BO;CREVALCORE;Strada provinciale;10;Bevilacqua, Strada
158;Underground;BO;GRANAROLO DELL'EMILIA;Strada statale;64;Porrettana, Strada
12;Underground;RN;CATTOLICA;Strada statale;16;Adriatica, Strada
355;Aboveground;RN;SAN GIOVANNI IN MARIGNANO;Strada provinciale;17;Saludecese, Strada
331;Underground;BO;SASSO MARCONI;Strada provinciale;325;Val di Setta e Val di Bisenzio, Strada Di
218;Underground;PR;POLESINE ZIBELLO;Strada provinciale;10;Cremona, Strada Di
389;Underground;PC;VILLANOVA SULL'ARDA;Strada provinciale;588R;Due Ponti, Strada Dei
670;Underground;RE;REGGIO NELL'EMILIA;Strada statale;722var;Reggio Emilia, Tangenziale Di
629;Underground;FC;FORLI';Strada statale;727;Forlì, Tangenziale Di
228;Underground;RE;BRESCELLO;Strada provinciale;062R;Cisa, Strada Della
9;Underground;FC;PORTICO SAN BENEDETTO;Strada statale;67;Tosco Romagnola, Strada
288;Underground;BO;PIEVE DI CENTO;Strada provinciale;42;Centese, Strada
244;Underground;BO;VALSAMOGGIA;Strada comunale;569(1);Provinciale, Via
330;Underground;BO;MARZABOTTO;Strada statale;64;Porrettana, Strada
221;Underground;PR;NOCETO;Strada statale;9;Emilia, Via
340;Underground;FC;FORLI';Strada provinciale;72;Monda, Strada
344;Underground;FC;MERCATO SARACENO;Strada statale;003bis;Tiberina, Strada
333;Underground;RA;FAENZA;Strada statale;9;Emilia, Via
125;Underground;PC;PIACENZA;Strada statale;654;Val Nure, Strada Di
436;Underground;FC;BAGNO DI ROMAGNA;Strada provinciale;26;Carnaio, Strada
683;Underground;BO;CASTENASO;Strada provinciale;86;Lungosavena, Strada
129;Underground;PR;PARMA;Strada statale;009var;Parma nord ovest, Tangenziale Di
632;Underground;MO;MODENA;Strada statale;724dir;Modena sud, Tangenziale Di
285;Underground;BO;CREVALCORE;Strada provinciale;1;Palata, Strada
600;Underground;BO;CASTEL SAN PIETRO TERME;Strada provinciale;19;San Carlo, Strada
